family	id	hook	intervention
stopping	plateau	stop polishing a nest that has stopped improving	Jev chooses whether to end a search window from incumbent improvements, evaluation costs, and stagnation history.
stopping	marginal_return	quit when the next second is unlikely to pay	Jev predicts marginal material gain per additional second and chooses between stopping and another fixed window.
stopping	target_satisfied	finish as soon as the result is useful enough	Jev predicts whether further search is worthwhile after an explicit production quality target is reached.
stopping	gap_bound	stop when there is hardly any room left to win	Jev uses a deterministic lower bound and search history to choose whether to continue; the bound itself is computed exactly.
stopping	deadline_tail	avoid starting work that will finish after the deadline	Jev chooses which complete-layout attempts can repay their cost within the remaining wall-time budget.
stopping	stale_family	stop retrying a family of moves that keeps failing	Jev suspends an operator family after its recent validated outcomes show little benefit.
stopping	periodic_check	ask whether to stop only at useful moments	Jev schedules the next stopping checkpoint using observed improvement intervals and decision overhead.
stopping	last_sheet	stop rearranging full sheets when only the last one matters	Jev freezes settled sheets and allocates remaining search to the final incomplete sheet, subject to full quality comparison.
stopping	stop_confidence	spend another check only when stopping is genuinely uncertain	Jev routes uncertain stop decisions to a short exact continuation before committing to stop.
stopping	completion_bound	abandon branches that are heading for an avoidable extra sheet	Jev predicts an uncompetitive completion from a partial layout; rejected branches are audited and exact bounds remain separate.
restarts	restart_seed	start again instead of digging the same hole	Jev chooses a fresh deterministic seed versus continuing the current search for an equal time window.
restarts	select_restart	pick a restart that actually changes the search	Jev selects a restart schedule from candidates with measured geometric and ordering diversity.
restarts	stagnation_budget	give promising stalls longer and hopeless stalls less	Jev chooses continuation-window length from the current incumbent and recent search trajectory.
restarts	keep_scaffold	start over without throwing away the good bit	Jev selects a validated subset of the incumbent to preserve while restarting the remaining parts.
restarts	bad_generation	reset a population that is agreeing on the wrong answer	Jev triggers a GA population reset using diversity and improvement history.
restarts	switch_order	change the ordering rule when the current one stops paying	Jev chooses the next part-order heuristic from measured results of earlier fixed windows.
restarts	switch_rotation	change rotation strategy when reordering is getting nowhere	Jev switches between permitted orientation-search strategies using outcome history.
restarts	restart_pool	remember useful abandoned starts	Jev selects a previously saved exact search checkpoint for a fresh bounded continuation.
restarts	failure_restart	restart only the region causing the trouble	Jev identifies a recorded failure region and chooses local restart versus whole-layout restart.
restarts	deadline_restart	avoid a restart that spends the whole remaining budget warming up	Jev evaluates restart setup cost against the remaining deadline before choosing a restart plan.
branch_pruning	cheap_prefix	throw away bad starts before completing them	Jev ranks candidate schedules using a measured inexpensive prefix and selects a subset for full completion.
branch_pruning	multi_depth	look a little deeper only where it changes the choice	Jev chooses whether each candidate needs another prefix depth before being kept or discarded.
branch_pruning	pairwise	compare two live options directly	Jev chooses between two candidates using the same incumbent, constraints, and evidence rather than independent absolute scores.
branch_pruning	relative_best	judge against what we already have	Jev predicts improvement relative to the current valid incumbent instead of generic compactness.
branch_pruning	reject_redundant	avoid completing several versions of the same idea	Jev groups similar search proposals and chooses representative candidates for expensive completion.
branch_pruning	keep_outlier	keep an odd-looking branch that might be the escape route	Jev retains one geometrically different candidate alongside the candidates preferred by the cheap score.
branch_pruning	tail_predict	spot the ugly ending behind a pretty beginning	Jev uses remaining-part composition and exact gap evidence to predict downstream completion quality.
branch_pruning	cost_aware_rank	finish the useful cheap candidates first	Jev ranks candidates by expected quality gain and measured completion cost rather than quality alone.
branch_pruning	adaptive_keep	keep fewer branches when the choice looks clear	Jev chooses how many candidates survive a batch, with a fixed audit fraction of rejected branches.
branch_pruning	counterexample	look twice at the candidate the cheap rule dislikes	Jev nominates a cheap-rule rejection for a bounded exact completion to seek missed improvements.
part_order	constrained_first	get the awkward parts out of the way	Jev prioritises parts with few permitted orientations or few measured feasible placement regions.
part_order	fillers_later	save the little gap-fillers for later	Jev chooses which small parts to defer until larger constrained parts are placed.
part_order	interleave	mix big and small pieces instead of forming long blocks	Jev chooses a size-interleaving recipe from explicit part quantities and geometric summaries.
part_order	family_split	break up identical-part blocks that hurt the nest	Jev selects where to split repeated-part runs in the placement order.
part_order	complement_pair	put shapes that help each other next to each other	Jev chooses candidate complementary pairs for exact adjacency trials.
part_order	remaining_risk	deal with the most dangerous leftovers first	Jev reprioritises the remaining queue using exact fit witnesses and current residual regions.
part_order	narrow_first	place narrow awkward shapes before their corridors disappear	Jev chooses whether elongated parts should precede broader parts in the supplied partial state.
part_order	quantity_balance	avoid spending all of one useful shape too early	Jev adjusts the next batch composition based on remaining quantities and possible filler roles.
part_order	due_date_ties	use ordering freedom among equally urgent jobs	Jev ranks legal order permutations within fixed deadline and production-priority constraints.
part_order	lookahead_order	choose the next small group rather than one part at a time	Jev selects a short sequence from exact legal candidate groups and a remaining-part summary.
rotations	angle_shortlist	try the few angles that look worth trying	Jev shortlists allowed rotations before exact placement evaluation, with omitted-angle audits.
rotations	family_orientation	learn one orientation preference for repeated copies	Jev selects a family-level rotation preference to test across identical parts.
rotations	alternate_orientation	alternate orientations when repeats can interlock	Jev chooses a permitted alternating-orientation pattern for exact repeated-block construction.
rotations	context_rotation	turn a piece to suit the current gap	Jev ranks allowed rotations using current cavity descriptors before exact fit checks.
rotations	rotation_budget	spend angle search where it has a chance to matter	Jev allocates an orientation-evaluation budget among remaining part families.
rotations	fine_angles	try fine angle steps only for the difficult pieces	Jev selects families for denser sampling within the production job's allowed rotation set.
rotations	global_alignment	use one shared direction when it simplifies the job	Jev chooses a global allowed-orientation bias to compare with independent per-part angles.
rotations	unlock_rotation	stop forcing a rotation pattern once it becomes a burden	Jev drops a learned orientation preference when later exact outcomes indicate loss of packing quality.
rotations	angle_pair	choose the orientation of a pair together	Jev shortlists joint allowed rotations for two complementary shapes before exact pair packing.
rotations	rotation_transfer	carry useful angle preferences to a similar job	Jev chooses whether a past job's rotation policy is worth testing under the new job's explicit constraints.
gaps	reserve_cavity	keep a useful gap open for the right part	Jev chooses between reserving a measured cavity and filling it with the currently available legal part.
gaps	ignore_sliver	stop chasing scraps that cost more than they save	Jev chooses whether to abandon search in a small residual region while retaining all required parts elsewhere.
